Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000399999990 CH2:0.0000399999990,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.30959999561,2.00000,0.00
Vertical Scale,CH1:2.00 CH2:2.00,,-0.30956000090,2.00000,0.00
Vertical Offset,CH1:-6.00000 CH2:-6.00000,,-0.30952000618,2.00000,0.00
Horizontal Units,s,,-0.30947998166,2.00000,0.00
Horizontal Scale,0.0250000004,,-0.30943998694,2.00000,0.00
Model Number,SDS1102CML+,,-0.30939999223,2.00000,0.00
Serial Number,SDS1MEBX2R2171,,-0.30935999751,2.00000,0.00
Software Version,6.01.01.20,,-0.30932000279,2.00000,0.00
,,,-0.30927997828,2.00000,0.00
,,,-0.30923998356,2.00000,0.00
,,,-0.30919998884,2.00000,0.00
,,,-0.30915999413,1.92000,0.00
,,,-0.30911999941,2.00000,0.00
,,,-0.30908000469,2.00000,0.00
,,,-0.30903998017,2.00000,0.00
,,,-0.30899998546,2.00000,0.00
,,,-0.30895999074,2.00000,0.00
,,,-0.30891999602,2.00000,0.00
,,,-0.30888000131,2.00000,0.00
,,,-0.30884000659,2.00000,0.00
,,,-0.30879998207,2.00000,0.00
,,,-0.30875998735,2.08000,0.00
,,,-0.30871999264,2.00000,0.00
,,,-0.30867999792,2.00000,0.00
,,,-0.30864000320,2.00000,0.00
,,,-0.30859997869,2.00000,0.00
,,,-0.30855998397,2.00000,0.00
,,,-0.30851998925,2.00000,0.00
,,,-0.30847999454,2.00000,0.00
,,,-0.30843999982,2.00000,0.00
,,,-0.30840000510,2.00000,0.00
,,,-0.30835998058,2.00000,0.00
,,,-0.30831998587,1.92000,0.00
,,,-0.30827999115,2.00000,0.00
,,,-0.30823999643,2.00000,0.00
,,,-0.30820000172,2.00000,0.00
,,,-0.30816000700,2.00000,0.00
,,,-0.30811998248,2.00000,0.00
,,,-0.30807998776,2.00000,0.00
,,,-0.30803999305,2.00000,0.00
,,,-0.30799999833,2.00000,0.00
,,,-0.30796000361,2.00000,0.00
,,,-0.30791997910,2.00000,0.00
,,,-0.30787998438,2.00000,0.00
,,,-0.30783998966,2.00000,0.00
,,,-0.30779999495,2.00000,0.00
,,,-0.30776000023,2.00000,0.00
,,,-0.30772000551,2.00000,0.00
,,,-0.30767998099,2.00000,0.00
,,,-0.30763998628,2.00000,0.00
,,,-0.30759999156,2.00000,0.00
,,,-0.30755999684,2.00000,0.00
,,,-0.30752000213,2.00000,0.00
,,,-0.30747997761,2.00000,0.00
,,,-0.30743998289,2.00000,0.00
,,,-0.30739998817,2.00000,0.00
,,,-0.30735999346,2.00000,0.00
,,,-0.30731999874,2.00000,0.00
,,,-0.30728000402,2.00000,0.00
,,,-0.30723997951,2.00000,0.00
,,,-0.30719998479,2.00000,0.00
,,,-0.30715999007,2.00000,0.00
,,,-0.30711999536,2.00000,0.00
,,,-0.30708000064,2.00000,0.00
,,,-0.30704000592,2.00000,0.00
,,,-0.30699998140,2.00000,0.00
,,,-0.30695998669,1.92000,0.00
,,,-0.30691999197,2.08000,0.00
,,,-0.30687999725,2.00000,0.00
,,,-0.30684000254,2.00000,0.00
,,,-0.30679997802,2.00000,0.00
,,,-0.30675998330,2.00000,0.00
,,,-0.30671998858,2.00000,0.00
,,,-0.30667999387,2.00000,0.00
,,,-0.30663999915,2.00000,0.00
,,,-0.30660000443,2.00000,0.00
,,,-0.30655997992,2.00000,0.00
,,,-0.30651998520,2.00000,0.00
,,,-0.30647999048,2.00000,0.00
,,,-0.30643999577,2.00000,0.00
,,,-0.30640000105,2.00000,0.00
,,,-0.30636000633,2.00000,0.00
,,,-0.30631998181,2.00000,0.00
,,,-0.30627998710,2.00000,0.00
,,,-0.30623999238,2.00000,0.00
,,,-0.30619999766,2.00000,0.00
,,,-0.30616000295,2.00000,0.00
,,,-0.30611997843,2.00000,0.00
,,,-0.30607998371,2.00000,0.00
,,,-0.30603998899,2.00000,0.00
,,,-0.30599999428,2.00000,0.00
,,,-0.30595999956,2.00000,0.00
,,,-0.30592000484,2.00000,0.00
,,,-0.30587998033,2.00000,0.00
,,,-0.30583998561,2.00000,0.00
,,,-0.30579999089,2.00000,0.00
,,,-0.30575999618,2.00000,0.00
,,,-0.30572000146,2.00000,0.00
,,,-0.30568000674,2.00000,0.00
,,,-0.30563998222,2.00000,0.00
,,,-0.30559998751,2.00000,0.00
,,,-0.30555999279,2.00000,0.00
,,,-0.30551999807,2.00000,0.00
,,,-0.30548000336,2.00000,0.00
,,,-0.30543997884,2.00000,0.00
,,,-0.30539998412,2.00000,0.00
,,,-0.30535998940,2.00000,0.00
,,,-0.30531999469,2.00000,0.00
,,,-0.30527999997,2.00000,0.00
,,,-0.30524000525,2.00000,0.00
,,,-0.30519998074,2.00000,0.00
,,,-0.30515998602,2.00000,0.00
,,,-0.30511999130,2.00000,0.00
,,,-0.30507999659,2.00000,0.00
,,,-0.30504000187,2.00000,0.00
,,,-0.30500000715,2.00000,0.00
,,,-0.30495998263,2.00000,0.00
,,,-0.30491998792,2.00000,0.00
,,,-0.30487999320,2.00000,0.00
,,,-0.30483999848,2.00000,0.00
,,,-0.30480000377,2.00000,0.00
,,,-0.30475997925,2.00000,0.00
,,,-0.30471998453,1.92000,0.00
,,,-0.30467998981,2.00000,0.00
,,,-0.30463999510,2.00000,0.00
,,,-0.30460000038,2.00000,0.00
,,,-0.30456000566,2.00000,0.00
,,,-0.30451998115,2.00000,0.00
,,,-0.30447998643,2.00000,0.00
,,,-0.30443999171,2.00000,0.00
,,,-0.30439999700,2.00000,0.00
,,,-0.30436000228,2.00000,0.00
,,,-0.30431997776,2.00000,0.00
,,,-0.30427998304,2.00000,0.00
,,,-0.30423998833,2.00000,0.00
,,,-0.30419999361,2.00000,0.00
,,,-0.30415999889,2.00000,0.00
,,,-0.30412000418,2.00000,0.00
,,,-0.30407997966,2.00000,0.00
,,,-0.30403998494,2.00000,0.00
,,,-0.30399999022,2.00000,0.00
,,,-0.30395999551,2.00000,0.00
,,,-0.30392000079,2.00000,0.00
,,,-0.30388000607,2.00000,0.00
,,,-0.30383998156,2.00000,0.00
,,,-0.30379998684,2.00000,0.00
,,,-0.30375999212,2.00000,0.00
,,,-0.30371999741,2.00000,0.00
,,,-0.30368000269,2.00000,0.00
,,,-0.30363997817,2.00000,0.00
,,,-0.30359998345,2.00000,0.00
,,,-0.30355998874,2.00000,0.00
,,,-0.30351999402,2.00000,0.00
,,,-0.30347999930,2.00000,0.00
,,,-0.30344000459,2.00000,0.00
,,,-0.30339998007,2.00000,0.00
,,,-0.30335998535,2.00000,0.00
,,,-0.30331999063,2.00000,0.00
,,,-0.30327999592,2.00000,0.00
,,,-0.30324000120,2.00000,0.00
,,,-0.30320000648,2.00000,0.00
,,,-0.30315998197,2.00000,0.00
,,,-0.30311998725,2.00000,0.00
,,,-0.30307999253,2.00000,0.00
,,,-0.30303999782,2.00000,0.00
,,,-0.30300000310,2.00000,0.00
,,,-0.30295997858,2.00000,0.00
,,,-0.30291998386,2.00000,0.00
,,,-0.30287998915,2.00000,0.00
,,,-0.30283999443,2.00000,0.00
,,,-0.30279999971,2.00000,0.00
,,,-0.30276000500,2.00000,0.00
,,,-0.30271998048,2.00000,0.00
,,,-0.30267998576,1.92000,0.00
,,,-0.30263999104,2.00000,0.00
,,,-0.30259999633,2.00000,0.00
,,,-0.30256000161,2.00000,0.00
,,,-0.30252000690,2.00000,0.00
,,,-0.30247998238,2.00000,0.00
,,,-0.30243998766,2.00000,0.00
,,,-0.30239999294,2.00000,0.00
,,,-0.30235999823,2.00000,0.00
,,,-0.30232000351,2.00000,0.00
,,,-0.30227997899,2.00000,0.00
,,,-0.30223998427,2.00000,0.00
,,,-0.30219998956,2.00000,0.00
,,,-0.30215999484,2.00000,0.00
,,,-0.30212000012,2.00000,0.00
,,,-0.30208000541,2.00000,0.00
,,,-0.30203998089,2.00000,0.00
,,,-0.30199998617,2.00000,0.00
,,,-0.30195999146,2.00000,0.00
,,,-0.30191999674,2.00000,0.00
,,,-0.30188000202,2.00000,0.00
,,,-0.30183997750,2.00000,0.00
,,,-0.30179998279,2.00000,0.00
,,,-0.30175998807,2.00000,0.00
,,,-0.30171999335,2.00000,0.00
,,,-0.30167999864,2.00000,0.00
,,,-0.30164000392,2.00000,0.00
,,,-0.30159997940,2.00000,0.00
,,,-0.30155998468,2.00000,0.00
,,,-0.30151998997,2.00000,0.00
,,,-0.30147999525,2.00000,0.00
,,,-0.30144000053,2.00000,0.00
,,,-0.30140000582,2.00000,0.00
,,,-0.30135998130,2.00000,0.00
,,,-0.30131998658,1.92000,0.00
,,,-0.30127999187,2.00000,0.00
,,,-0.30123999715,2.00000,0.00
,,,-0.30120000243,2.00000,0.00
,,,-0.30115997791,2.00000,0.00
,,,-0.30111998320,2.00000,0.00
,,,-0.30107998848,2.00000,0.00
,,,-0.30103999376,2.00000,0.00
,,,-0.30099999905,2.00000,0.00
,,,-0.30096000433,1.92000,0.00
,,,-0.30091997981,2.00000,0.00
,,,-0.30087998509,2.00000,0.00
,,,-0.30083999038,2.00000,0.08000
,,,-0.30079999566,2.00000,0.00
,,,-0.30076000094,2.00000,0.00
,,,-0.30072000623,2.00000,0.00
,,,-0.30067998171,2.00000,0.00
,,,-0.30063998699,2.00000,0.00
,,,-0.30059999228,2.00000,0.00
,,,-0.30055999756,2.00000,0.00
,,,-0.30052000284,2.00000,0.00
,,,-0.30047997832,2.00000,0.00
,,,-0.30043998361,2.00000,0.00
,,,-0.30039998889,2.00000,0.00
,,,-0.30035999417,2.00000,0.00
,,,-0.30031999946,2.00000,0.00
,,,-0.30028000474,2.00000,0.00
,,,-0.30023998022,2.00000,0.00
,,,-0.30019998550,2.00000,0.00
,,,-0.30015999079,2.00000,0.00
,,,-0.30011999607,2.00000,0.00
,,,-0.30008000135,2.00000,0.00
,,,-0.30004000664,2.00000,0.00
,,,-0.29999998212,2.00000,0.00
,,,-0.29995998740,2.00000,0.00
,,,-0.29991999269,2.00000,0.00
,,,-0.29987999797,2.00000,0.00
,,,-0.29984000325,2.00000,0.00
,,,-0.29979997873,2.00000,0.00
,,,-0.29975998402,2.00000,0.00
,,,-0.29971998930,2.00000,0.00
,,,-0.29967999458,2.00000,0.00
,,,-0.29963999987,2.00000,0.00
,,,-0.29960000515,2.00000,0.00
,,,-0.29955998063,2.00000,0.00
,,,-0.29951998591,2.00000,0.00
,,,-0.29947999120,2.00000,0.00
,,,-0.29943999648,2.00000,0.00
